,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,SMA_signal,SMA_position,SMA_return,SMA_equity,RSI_signal,RSI_position,RSI_return,RSI_equity,MACD_signal_bin,MACD_position,MACD_return,MACD_equity
2007-02-22,1.314,1.3144,1.3081,1.3125,-0.0010655301012254,-0.0010660981819977,0.0144535476889779,1.014453547688978,1.0167722986551242,-0.0022805017103761,1.3039450000000001,,68.30357142857142,1.309199482110426,1.3043140896808412,0.004885392429584856,0.0038107407644552478,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0010655301012254,1.0040099056986729
2007-02-23,1.3124,1.3188,1.3103,1.3165,0.0030476190476189,0.0030429844705852,0.0175452156438395,1.0175452156438396,1.0175452156438396,0.0,1.3051949999999999,,76.04395604395617,1.310322638708822,1.3052167497044826,0.005105889004339392,0.004069770412432077,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0030476190476189,1.0070697454112782
2007-02-26,1.3168,1.3198,1.315,1.3188,0.0017470565894417,0.0017455322612119,0.0193229247178849,1.019322924717885,1.019322924717885,0.0,1.30635,,74.23167848699771,1.311626848138234,1.3062229163930394,0.005403931745194601,0.004336602678984581,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0017470565894417,1.0088291532460265
2007-02-27,1.3187,1.3259,1.316,1.3239,0.003867151956324,0.0038596937460353,0.0232648013603335,1.0232648013603336,1.0232648013603336,0.0,1.3077,,75.50561797752829,1.3135150253477366,1.307532329993555,0.0059826953541815,0.004665821214023966,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.003867151956324,1.0127304488795985
2007-02-28,1.324,1.3241,1.318,1.3225,-0.0010574816829066,-0.0010580412111568,0.0221827175761319,1.022182717576132,1.0232648013603336,-0.0010574816829065,1.3086600000000002,,71.46171693735499,1.3148973291403925,1.3086410462903288,0.0062562828500636325,0.004983913541231899,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0010574816829066,1.0116595049801864
2007-03-01,1.3226,1.3239,1.3161,1.3186,-0.0029489603024575,-0.0029533170532552,0.0191683413201417,1.0191683413201418,1.0232648013603336,-0.0040033235138606,1.309485,,70.80459770114949,1.3154669708111013,1.3093787465651192,0.006088224245982099,0.0052047756821819394,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0029489603024575,1.008676161260396
2007-03-02,1.3184,1.3201,1.3143,1.3191,0.0003791900500529,0.0003791181756746,0.0195547998144993,1.0195547998144994,1.0232648013603336,-0.0036256514842513,1.310635,,78.05486284289286,1.3160258983786242,1.3100988394121473,0.005927058966476828,0.0053492323390409175,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0003791900500529,1.0090586412244715
2007-03-05,1.32,1.3211,1.3072,1.3088,-0.0078083541808808,-0.0078389990063914,0.0115937548307305,1.0115937548307306,1.0232648013603336,-0.0114056952942068,1.311435,,55.88914549653571,1.3149142217049896,1.3100026290853217,0.004911592619667893,0.005261704395166314,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,1.0,-0.0078083541808808,1.0011795539645125
2007-03-06,1.3091,1.313,1.308,1.3127,0.0029798288508557,0.0029753979608791,0.0146081310867207,1.0146081310867208,1.0232648013603336,-0.0084598534632527,1.312155,,49.736842105263186,1.3145735722119143,1.3102024343382608,0.004371137873653508,0.0050835910908637524,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0011795539645125
2007-03-07,1.3127,1.3185,1.3109,1.3176,0.0037327645311191,0.0037258150540689,0.0183954243314263,1.0183954243314264,1.0232648013603336,-0.0047586675730796,1.312975,,54.30622009569385,1.3150391764870044,1.3107504021650562,0.0042887743219481855,0.004924627737080639,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0011795539645125
