Metric,Value
Accuracy,0.5010033444816053
Total Return,-0.3015204238661532
Annual Return,-0.058184120301249996
Annual Volatility,0.06778344806536536
Sharpe Ratio,-0.8583824216959502
Max Drawdown,-0.35615367486958344
