,return_lag_1,return_lag_2,return_lag_3,return_lag_5,rolling_mean_5,rolling_mean_10,rolling_std_5,rolling_std_10,momentum_3,momentum_5,momentum_10,high_low_range,open_close_range,SMA_ratio,RSI_14,MACD,target,simple_return,close
2007-02-13,-0.0029988465974625,-0.0026840490797546,0.0021518598217031,0.0042543316831684,0.0008357028592292199,0.00052929100916244,0.0036162867273776232,0.003712084788956666,-0.00023006134969327796,0.00415928521913278,0.005243272418845146,0.006826723939556576,0.005475859941385244,1.001568008013407,56.261682242990815,0.0016600697640010154,1,0.0054758599413853,1.3037
2007-02-14,0.0054758599413853,-0.0029988465974625,-0.0026840490797546,0.0022336902102748,0.00180033246310502,0.0007414903691777199,0.004593629395111415,0.004038231814018888,0.00953479430988069,0.008991699969259193,0.00736591728688718,0.009520907913778624,0.006979598097867684,1.001570704815288,66.83673469387766,0.002625210268941247,1,0.0070568382296538,1.3129
2007-02-15,0.0070568382296538,0.0054758599413853,-0.0029988465974625,0.0021518598217031,0.0015375284780469198,0.0009173483249050599,0.0046060616274321,0.003995870924487746,0.013419713095789154,0.0076687116564417845,0.009139083019737315,0.004033485540334749,0.0008378398964125988,1.00180431111094,69.29674099485416,0.00343920684382093,0,0.0008378398964126,1.314
2007-02-16,0.0008378398964126,0.0070568382296538,0.0054758599413853,-0.0026840490797546,0.00202867619354122,0.0013553113765122399,0.004151913856842196,0.0035366094164756843,0.007670476336580467,0.010149942329873207,0.013579199135869136,0.003958285757783431,-0.00022831050228307986,1.0024797296517998,66.54411764705884,0.00401382858375432,1,-0.0002283105022831,1.3137
2007-02-19,-0.0002283105022831,0.0008378398964126,0.0070568382296538,-0.0029988465974625,0.0029024806808802396,0.00174693894423304,0.003173858873305754,0.0032628199366681655,0.0019803488460659047,0.01457658491439151,0.01755878712871284,0.003116685670847581,0.0006846188954814399,1.0034304592512917,66.90909090909088,0.004561878908958761,0,0.0013701758392326,1.3155
2007-02-20,0.0013701758392326,-0.0002283105022831,0.0008378398964126,0.0054758599413853,0.0015336484873580598,0.0011846756732936399,0.003261223247950271,0.0032671810363722816,-0.00022831050228311334,0.007670476336580467,0.01186166525456378,0.004567252797442342,-0.001368301026225619,1.0041854499934724,60.31746031746055,0.004795686099258845,1,-0.0013683010262256,1.3137
2007-02-21,-0.0013683010262256,0.0013701758392326,-0.0002283105022831,0.0070568382296538,0.00015272919341021985,0.0009765308282576199,0.0010500330265190974,0.0032592175755236886,0.00015224175991468414,0.0007616726331023393,0.009760221334153218,0.004109901819012156,0.0005330490405118374,1.0045089122968591,61.943319838056745,0.004940171093376966,0,0.0001522417599146,1.3139
2007-02-22,0.0001522417599146,-0.0013683010262256,0.0013701758392326,0.0008378398964126,-0.0002279448061173802,0.0006547918359647699,0.0010840310179071663,0.00328897058611039,-0.0022805017103761926,-0.0011415525114155667,0.006518404907975395,0.004799999999999979,-0.0011415525114155684,1.0044135297117591,68.30357142857142,0.004885392429584856,1,-0.0010655301012254,1.3125
2007-02-23,-0.0010655301012254,0.0001522417599146,-0.0013683010262256,-0.0002283105022831,0.0004272411038630197,0.00122795864870212,0.0018223246509695486,0.0031384445740385773,0.002131384638806466,0.002131384638806466,0.01230296039984613,0.006456513482719295,0.003124047546479726,1.0046774619884387,76.04395604395617,0.005105889004339392,1,0.0030476190476189,1.3165
2007-02-26,0.0030476190476189,-0.0010655301012254,0.0001522417599146,0.0013701758392326,0.0005026172539048397,0.00170254896739254,0.001878020747685998,0.002764853411343061,0.0037293553542887548,0.0025085518814140784,0.017121702915317005,0.003639672429481451,0.0015188335358444728,1.0054885750373177,74.23167848699771,0.005403931745194601,1,0.0017470565894417,1.3188
2007-02-27,0.0017470565894417,0.0030476190476189,-0.0010655301012254,-0.0013683010262256,0.0015497078504147597,0.00154167816888641,0.002027659530179768,0.002560133801430765,0.008685714285714408,0.007764329755652,0.015494362199892642,0.00747790618626786,0.0039432774702359095,1.0059952588514185,75.50561797752829,0.0059826953541815,0,0.003867151956324,1.3239
2007-02-28,0.003867151956324,0.0017470565894417,0.0030476190476189,0.0001522417599146,0.0013077631618505197,0.0007302461776303699,0.0022911488552828556,0.0017870829243337234,0.004557538928978255,0.006545399193241375,0.007312057277782058,0.004612476370510392,-0.001132930513595209,1.0059908608805952,71.46171693735499,0.0062562828500636325,0,-0.0010574816829066,1.3225
2007-03-01,-0.0010574816829066,0.003867151956324,0.0017470565894417,-0.0010655301012254,0.0009310771216040996,0.00035156615774335987,0.0028624798769031567,0.00213004921033893,-0.00015165301789499264,0.004647619047619012,0.003500761035007516,0.005915364780828173,-0.0030243459851807073,1.0057083509929476,70.80459770114949,0.006088224245982099,1,-0.0029489603024575,1.3186
