Short Window,Long Window,Return,Sharpe
10,50,0.11576375690437812,0.12265109056828313
10,100,-0.001001216878936173,0.02810611637571797
10,150,0.0994485224284194,0.11239164444056068
20,50,0.018680077483139712,0.04518073923701772
20,100,0.1400426844904441,0.14215803876695446
20,150,0.10713953677084276,0.1187138060109069
30,50,-0.0038921757685506098,0.025488458736538478
30,100,0.1946261006831569,0.18504686107078475
30,150,0.3049521117318046,0.267209976464641
