,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,signal,position,strategy_return,strategy_equity,buy_hold,strategy_drawdown
2007-01-17,1.2917,1.295,1.2898,1.2938,,,,,,,,,0,,,,,
2007-01-18,1.2938,1.2976,1.2896,1.2963,0.0019322924717883,0.0019304279961119,0.0019322924717883,1.0019322924717884,1.0019322924717884,0.0,,,0,0.0,0.0,1.0,1.0019322924717884,0.0
2007-01-19,1.2963,1.3001,1.2914,1.2961,-0.0001542852734706,-0.0001542971766677,0.0017777090740453,1.0017777090740454,1.0019322924717884,-0.0001542852734706,,,0,0.0,-0.0,1.0,1.0017777090740454,0.0
2007-01-22,1.2959,1.2977,1.2923,1.2949,-0.0009258544865365,-0.000926283354535,0.0008502086875867,1.0008502086875868,1.0019322924717884,-0.0010799969142946,,,0,0.0,-0.0,1.0,1.000850208687587,0.0
2007-01-23,1.2949,1.3044,1.2929,1.3026,0.005946405127809,0.0059287950375067,0.0068016695006953,1.0068016695006954,1.0068016695006954,0.0,,,0,0.0,0.0,1.0,1.0068016695006956,0.0
2007-01-24,1.3025,1.3036,1.2948,1.297,-0.0042990941194533,-0.0043083617958572,0.0024733343638891,1.0024733343638892,1.0068016695006954,-0.0042990941194532,,,0,0.0,-0.0,1.0,1.0024733343638894,0.0
2007-01-25,1.2969,1.3001,1.2915,1.2931,-0.0030069390902082,-0.0030114690146379,-0.0005410418921009,0.9994589581078992,1.0068016695006954,-0.0072931060955011,,,0,0.0,-0.0,1.0,0.9994589581078993,0.0
2007-01-26,1.2931,1.2944,1.2878,1.2915,-0.0012373366328976,-0.0012381027659106,-0.0017777090740455,0.9982222909259544,1.0068016695006954,-0.0085214187010592,,,0,0.0,-0.0,1.0,0.9982222909259547,0.0
2007-01-29,1.2916,1.2966,1.2897,1.2957,0.0032520325203251,0.0032467560988698,0.0014685422785591,1.0014685422785592,1.0068016695006954,-0.0052970981114691,,,0,0.0,0.0,1.0,1.0014685422785594,0.0
2007-01-30,1.2956,1.298,1.2944,1.2969,0.0009261403102569,0.0009257117069306,0.0023960426650175,1.0023960426650176,1.0068016695006954,-0.0043758636573006,,,0,0.0,0.0,1.0,1.0023960426650178,0.0
2007-01-31,1.2968,1.3036,1.2924,1.3033,0.004934844629501,0.0049227081949781,0.0073427113927961,1.0073427113927962,1.0073427113927962,0.0,,,0,0.0,0.0,1.0,1.0073427113927964,0.0
2007-02-01,1.3032,1.305,1.3,1.3021,-0.0009207396608608,-0.0009211638019913,0.0064152110063377,1.0064152110063378,1.0073427113927962,-0.0009207396608608,,,0,0.0,-0.0,1.0,1.006415211006338,0.0
2007-02-02,1.3022,1.3064,1.2951,1.2961,-0.0046079410183549,-0.0046185903053532,0.0017777090740453,1.0017777090740454,1.0073427113927962,-0.0055244379651652,,,0,0.0,-0.0,1.0,1.0017777090740456,0.0
2007-02-05,1.296,1.2966,1.2913,1.2928,-0.0025460998379754,-0.0025493466624984,-0.0007729169887155,0.9992270830112844,1.0073427113927962,-0.0080564720325326,,,0,0.0,-0.0,1.0,0.9992270830112848,0.0
2007-02-06,1.2928,1.299,1.2912,1.2983,0.0042543316831684,0.0042453075993769,0.0034781264492194,1.0034781264492194,1.0073427113927962,-0.0038364152535868,,,0,0.0,0.0,1.0,1.0034781264492196,0.0
2007-02-07,1.2983,1.3024,1.2966,1.3012,0.0022336902102748,0.0022311992329885,0.005719585716494,1.005719585716494,1.0073427113927962,-0.0016112944065064,,,0,0.0,0.0,1.0,1.0057195857164942,0.0
2007-02-08,1.301,1.3041,1.2975,1.304,0.0021518598217031,0.002149547887402,0.0078837532848972,1.0078837532848972,1.0078837532848972,0.0,,,0,0.0,0.0,1.0,1.0078837532848974,0.0
2007-02-09,1.3041,1.3044,1.2982,1.3005,-0.0026840490797546,-0.002687657597892,0.0051785438243932,1.0051785438243932,1.0078837532848972,-0.0026840490797546,,,0,0.0,-0.0,1.0,1.0051785438243934,0.0
2007-02-12,1.2991,1.3036,1.294,1.2966,-0.0029988465974625,-0.0030033521478109,0.0021641675684029,1.002164167568403,1.0078837532848972,-0.005674846625767,,,0,0.0,-0.0,1.0,1.0021641675684032,0.0
2007-02-13,1.2966,1.3043,1.2954,1.3037,0.0054758599413853,0.0054609219278379,0.0076518781882826,1.0076518781882826,1.0078837532848972,-0.0002300613496932,1.297825,,0,0.0,0.0,1.0,1.0076518781882828,0.0
2007-02-14,1.3038,1.3149,1.3024,1.3129,0.0070568382296538,0.0070320552713313,0.0147627144844642,1.0147627144844642,1.0147627144844642,0.0,1.29878,,0,0.0,0.0,1.0,1.0147627144844644,0.0
2007-02-15,1.3129,1.3171,1.3118,1.314,0.0008378398964126,0.0008374891044912,0.0156129231720512,1.0156129231720512,1.0156129231720512,0.0,1.299665,,0,0.0,0.0,1.0,1.0156129231720514,0.0
2007-02-16,1.314,1.3146,1.3094,1.3137,-0.0002283105022831,-0.0002283365690934,0.0153810480754366,1.0153810480754366,1.0156129231720512,-0.0002283105022831,1.300545,,0,0.0,-0.0,1.0,1.0153810480754368,0.0
2007-02-19,1.3146,1.3163,1.3122,1.3155,0.0013701758392326,0.0013692380048849,0.0167722986551241,1.0167722986551242,1.0167722986551242,0.0,1.301575,,0,0.0,0.0,1.0,1.0167722986551244,0.0
2007-02-20,1.3155,1.3189,1.3129,1.3137,-0.0013683010262256,-0.0013692380048849,0.0153810480754366,1.0153810480754366,1.0167722986551242,-0.0013683010262256,1.30213,,0,0.0,-0.0,1.0,1.0153810480754368,0.0
2007-02-21,1.3132,1.3165,1.3111,1.3139,0.0001522417599146,0.000152230172314,0.0155356314731796,1.0155356314731796,1.0167722986551242,-0.0012162675788672,1.302975,,0,0.0,0.0,1.0,1.0155356314731798,0.0
2007-02-22,1.314,1.3144,1.3081,1.3125,-0.0010655301012254,-0.0010660981819977,0.0144535476889779,1.014453547688978,1.0167722986551242,-0.0022805017103761,1.3039450000000001,,0,0.0,-0.0,1.0,1.0144535476889782,0.0
2007-02-23,1.3124,1.3188,1.3103,1.3165,0.0030476190476189,0.0030429844705852,0.0175452156438395,1.0175452156438396,1.0175452156438396,0.0,1.3051949999999999,,0,0.0,0.0,1.0,1.0175452156438398,0.0
2007-02-26,1.3168,1.3198,1.315,1.3188,0.0017470565894417,0.0017455322612119,0.0193229247178849,1.019322924717885,1.019322924717885,0.0,1.30635,,0,0.0,0.0,1.0,1.0193229247178852,0.0
2007-02-27,1.3187,1.3259,1.316,1.3239,0.003867151956324,0.0038596937460353,0.0232648013603335,1.0232648013603336,1.0232648013603336,0.0,1.3077,,0,0.0,0.0,1.0,1.0232648013603338,0.0
2007-02-28,1.324,1.3241,1.318,1.3225,-0.0010574816829066,-0.0010580412111568,0.0221827175761319,1.022182717576132,1.0232648013603336,-0.0010574816829065,1.3086600000000002,,0,0.0,-0.0,1.0,1.0221827175761322,0.0
2007-03-01,1.3226,1.3239,1.3161,1.3186,-0.0029489603024575,-0.0029533170532552,0.0191683413201417,1.0191683413201418,1.0232648013603336,-0.0040033235138606,1.309485,,0,0.0,-0.0,1.0,1.019168341320142,0.0
2007-03-02,1.3184,1.3201,1.3143,1.3191,0.0003791900500529,0.0003791181756746,0.0195547998144993,1.0195547998144994,1.0232648013603336,-0.0036256514842513,1.310635,,0,0.0,0.0,1.0,1.0195547998144996,0.0
2007-03-05,1.32,1.3211,1.3072,1.3088,-0.0078083541808808,-0.0078389990063914,0.0115937548307305,1.0115937548307306,1.0232648013603336,-0.0114056952942068,1.311435,,0,0.0,-0.0,1.0,1.011593754830731,0.0
2007-03-06,1.3091,1.313,1.308,1.3127,0.0029798288508557,0.0029753979608791,0.0146081310867207,1.0146081310867208,1.0232648013603336,-0.0084598534632527,1.312155,,0,0.0,0.0,1.0,1.0146081310867212,0.0
2007-03-07,1.3127,1.3185,1.3109,1.3176,0.0037327645311191,0.0037258150540689,0.0183954243314263,1.0183954243314264,1.0232648013603336,-0.0047586675730796,1.312975,,0,0.0,0.0,1.0,1.0183954243314268,0.0
2007-03-08,1.3178,1.3182,1.3117,1.313,-0.003491196114147,-0.0034973045606345,0.0148400061833353,1.0148400061833354,1.0232648013603336,-0.008233250245487,1.313425,,0,0.0,-0.0,1.0,1.0148400061833358,0.0
2007-03-09,1.313,1.3159,1.3087,1.3114,-0.0012185833968012,-0.0012193264732771,0.0136033390013907,1.0136033390013908,1.0232648013603336,-0.0094418007402373,1.3139699999999999,,0,0.0,-0.0,1.0,1.0136033390013912,0.0
