Metric,Value
Latest Close,1.145
Latest SMA 20,1.164565
Latest SMA 50,1.1731660000000002
Latest RSI 14,25.93619972260747
Latest MACD,-0.008200945971495344
Latest MACD Signal,-0.006287091857057571
Current MA Signal,0.0
