Metric,Value
Prediction Accuracy,0.5023411371237458
Total Return,-0.5199950662857891
Annual Return,-0.11449039985230648
Annual Volatility,0.14685152532878934
Sharpe Ratio,-0.7796337123225056
Max Drawdown,-0.5649384467692055
