,return_lag_1,return_lag_2,return_lag_3,rolling_mean_5,rolling_std_5,momentum_5,momentum_10,high_low_range,open_close_range,SMA_ratio,RSI_14,MACD,target,simple_return,prediction,position,rolling_vol,position_size,trade,strategy_return,strategy_equity,buy_hold,drawdown
2020-06-25,-0.0049169599745306,0.0031137172106061,0.0086524695776664,0.00023003105520588222,0.005584056823515246,0.0010884208084647184,-0.006850466876134109,0.006300630063006221,-0.00272845233651516,0.9998920409284835,44.86821705426351,0.0060617989010227635,0,-0.0027639039476725,1,1,,,0.0,,,0.9972360960523275,
2020-06-26,-0.0027639039476725,-0.0049169599745306,0.0031137172106061,0.0007546820973425822,0.00532976756236405,0.0037222619899786036,-0.0037743892150157166,0.004047211524746816,-0.00032082130253441337,0.999023073233983,44.135034225264555,0.005399329328237057,1,-0.0003119123793565,1,1,,,0.0,,,0.9969250457688277,
2020-06-29,-0.0003119123793565,-0.0027639039476725,-0.0049169599745306,-0.00041954309760873786,0.0034808035999898037,-0.002120166419757319,-0.007079177332509401,0.006302894530972228,0.0021916929491635293,0.9977888615788292,42.90937996820364,0.005067658531003438,0,0.0027813436029098,1,1,,,0.0,,,0.9996978368674574,
2020-06-30,0.0027813436029098,-0.0003119123793565,-0.0027639039476725,-0.001287646044743838,0.0028663431614922236,-0.006438033923486408,-0.0020695842178660717,0.00649755229194489,-0.0012179185150284863,0.9973031829363093,38.34325396825398,0.00463996592882876,1,-0.0012267975250694,1,1,,,0.0,,,0.9984714100353712,
2020-07-01,-0.0012267975250694,0.0027813436029098,-0.0003119123793565,1.5182466160208395e-07,0.0021962429319640525,-8.88715095725967e-06,0.0006847853153568728,0.008105153704641816,0.001575518051698399,0.9972781467795394,45.73842762674508,0.004388412284061616,0,0.0015220293724966,1,1,,,0.0,,,0.9999911128490432,
2020-07-02,0.0015220293724966,-0.0012267975250694,0.0027813436029098,0.00033786164966504215,0.0017493143421879896,0.001684326848526485,0.0027745809133814525,0.007179715302491122,-0.0010753548226552672,0.9979131604922493,48.060220034742485,0.004044791482217702,1,-0.0010753548226553,1,1,,,0.0,,,0.9989157675832285,
2020-07-03,-0.0010753548226553,0.0015220293724966,-0.0012267975250694,0.0005141231290950621,0.0017114660044279435,0.0025673940949935137,0.006299212598425363,0.0030054061744204017,0.0004269854824936272,0.9987193481415455,40.93503072870948,0.0037805325465027906,1,0.0005693950177936,1,1,,,0.0,,,0.9994845452444859,
2020-07-06,0.0005693950177936,-0.0010753548226553,0.0015220293724966,0.0010871046574816418,0.002796130124719336,0.005431690491429997,0.0033000079838902963,0.009054014624355677,0.005869849429468369,0.9989746676325211,55.75379125780534,0.004036961784372739,0,0.0056462512448427,1,1,,,0.0,,,1.0051278861022737,
2020-07-07,0.0056462512448427,0.0005693950177936,-0.0010753548226553,0.0006852435858326019,0.003309149937041998,0.003408989764129844,-0.003050991351102761,0.006706110899204325,-0.003297791452266026,0.998955281334789,53.067289322861214,0.003899896807953107,1,-0.0032361028833146,1,1,,,0.0,,,1.0018751888519581,
2020-07-08,-0.0032361028833146,0.0056462512448427,0.0005693950177936,0.0013867543462139419,0.003857278266365615,0.006923152122714882,0.00691420344465965,0.008014121800529548,0.00496718112471177,0.9998503433443422,62.299410928295856,0.004200374142006691,0,0.0050295831744033,1,1,,,0.0,,,1.00691420344466,
