Feature,Coefficient
MACD,0.10811302190641917
SMA_ratio,0.03078600716493012
RSI_14,0.0004952302155700209
rolling_std_5,-0.016810208831574268
return_lag_3,-0.030052964285921874
rolling_mean_5,-0.14125395544465924
return_lag_1,-0.1579669475756265
high_low_range,-0.19462886368220894
return_lag_2,-0.1983784574960542
open_close_range,-0.2864001976645849
momentum_5,-0.7049365201987581
momentum_10,-0.9145644555853599
