,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,signal,position,trade,strategy_return,strategy_equity,buy_hold
2007-01-17,1.2917,1.295,1.2898,1.2938,,,,,,,,,,0,,,,,
2007-01-18,1.2938,1.2976,1.2896,1.2963,0.0019322924717883,0.0019304279961119,0.0019322924717883,1.0019322924717884,1.0019322924717884,,,,,0,0.0,,,,1.0019322924717884
2007-01-19,1.2963,1.3001,1.2914,1.2961,-0.0001542852734706,-0.0001542971766677,0.0017777090740453,1.0017777090740454,1.0019322924717884,0.0,,,,0,0.0,0.0,-0.0,1.0,1.0017777090740454
2007-01-22,1.2959,1.2977,1.2923,1.2949,-0.0009258544865365,-0.000926283354535,0.0008502086875867,1.0008502086875868,1.0019322924717884,0.0,,,,0,0.0,0.0,-0.0,1.0,1.000850208687587
2007-01-23,1.2949,1.3044,1.2929,1.3026,0.005946405127809,0.0059287950375067,0.0068016695006953,1.0068016695006954,1.0068016695006954,0.0,,,,0,0.0,0.0,0.0,1.0,1.0068016695006956
2007-01-24,1.3025,1.3036,1.2948,1.297,-0.0042990941194533,-0.0043083617958572,0.0024733343638891,1.0024733343638892,1.0068016695006954,0.0,,,,0,0.0,0.0,-0.0,1.0,1.0024733343638894
2007-01-25,1.2969,1.3001,1.2915,1.2931,-0.0030069390902082,-0.0030114690146379,-0.0005410418921009,0.9994589581078992,1.0068016695006954,0.0,,,,0,0.0,0.0,-0.0,1.0,0.9994589581078993
2007-01-26,1.2931,1.2944,1.2878,1.2915,-0.0012373366328976,-0.0012381027659106,-0.0017777090740455,0.9982222909259544,1.0068016695006954,0.0,,,,0,0.0,0.0,-0.0,1.0,0.9982222909259547
2007-01-29,1.2916,1.2966,1.2897,1.2957,0.0032520325203251,0.0032467560988698,0.0014685422785591,1.0014685422785592,1.0068016695006954,0.0,,,,0,0.0,0.0,0.0,1.0,1.0014685422785594
2007-01-30,1.2956,1.298,1.2944,1.2969,0.0009261403102569,0.0009257117069306,0.0023960426650175,1.0023960426650176,1.0068016695006954,0.0,,,,0,0.0,0.0,0.0,1.0,1.0023960426650178
2007-01-31,1.2968,1.3036,1.2924,1.3033,0.004934844629501,0.0049227081949781,0.0073427113927961,1.0073427113927962,1.0073427113927962,0.0,,,,0,0.0,0.0,0.0,1.0,1.0073427113927964
2007-02-01,1.3032,1.305,1.3,1.3021,-0.0009207396608608,-0.0009211638019913,0.0064152110063377,1.0064152110063378,1.0073427113927962,0.0,,,,0,0.0,0.0,-0.0,1.0,1.006415211006338
2007-02-02,1.3022,1.3064,1.2951,1.2961,-0.0046079410183549,-0.0046185903053532,0.0017777090740453,1.0017777090740454,1.0073427113927962,0.0,,,,0,0.0,0.0,-0.0,1.0,1.0017777090740456
2007-02-05,1.296,1.2966,1.2913,1.2928,-0.0025460998379754,-0.0025493466624984,-0.0007729169887155,0.9992270830112844,1.0073427113927962,0.0,,,48.88888888888876,0,0.0,0.0,-0.0,1.0,0.9992270830112848
2007-02-06,1.2928,1.299,1.2912,1.2983,0.0042543316831684,0.0042453075993769,0.0034781264492194,1.0034781264492194,1.0073427113927962,0.0,,,54.45544554455443,0,0.0,0.0,0.0,1.0,1.0034781264492196
2007-02-07,1.2983,1.3024,1.2966,1.3012,0.0022336902102748,0.0022311992329885,0.005719585716494,1.005719585716494,1.0073427113927962,0.0,,,54.81335952848716,0,0.0,0.0,0.0,1.0,1.0057195857164942
2007-02-08,1.301,1.3041,1.2975,1.304,0.0021518598217031,0.002149547887402,0.0078837532848972,1.0078837532848972,1.0078837532848972,0.0,,,57.383177570093494,0,0.0,0.0,0.0,1.0,1.0078837532848974
2007-02-09,1.3041,1.3044,1.2982,1.3005,-0.0026840490797546,-0.002687657597892,0.0051785438243932,1.0051785438243932,1.0078837532848972,0.0,,,55.017921146953455,0,0.0,0.0,-0.0,1.0,1.0051785438243934
2007-02-12,1.2991,1.3036,1.294,1.2966,-0.0029988465974625,-0.0030033521478109,0.0021641675684029,1.002164167568403,1.0078837532848972,0.0,,,44.230769230769205,0,0.0,0.0,-0.0,1.0,1.0021641675684032
2007-02-13,1.2966,1.3043,1.2954,1.3037,0.0054758599413853,0.0054609219278379,0.0076518781882826,1.0076518781882826,1.0078837532848972,0.0,1.297825,,56.261682242990815,0,0.0,0.0,0.0,1.0,1.0076518781882828
